GCIS Search Results Export
Generated,2026-01-18 21:03:36
Data Type,Password
Identifier,Bv3Hy8Tz1Uc6Gd0Nf4XeQ7529iKLmVRS
Search,32 x 8-bit strings
Filter,100%

SEARCH STRING
01000010 01110110 00110011 01001000 01111001 00111000 01010100 01111010 00110001 01010101 01100011 00110110 01000111 01100100 00110000 01001110 01100110 00110100 01011000 01100101 01010001 00110111 00110101 00110010 00111001 01101001 01001011 01001100 01101101 01010110 01010010 01010011

STATISTICS SUMMARY
Layer,Bits,Matches,Match_Rate_%,Coverage_%
es15,512,32/32,100.0,50.0000
es16,1024,32/32,100.0,25.0000
es17,2048,32/32,100.0,12.5000
es18,4096,32/32,100.0,6.2500
es19,8192,32/32,100.0,3.1250
es20,32768,32/32,100.0,0.7812
zfa89,461,32/32,100.0,55.5315

LAYER DETAILS
Layer,Bitstring,Char,Positions
es15,01000010,B,"80, 319, 444"
es15,01110110,v,"33, 418"
es15,00110011,3,"110, 175"
es15,01001000,H,316
es15,01111001,y,"69, 241, 262, 382"
es15,00111000,8,"0, 231, 302"
es15,01010100,T,"157, 465, 502"
es15,01111010,z,140
es15,00110001,1,"74, 251, 256"
es15,01010101,U,"45, 155, 409"
es15,01100011,c,"128, 171, 252, 257"
es15,00110110,6,"192, 436"
es15,01000111,G,85
es15,01100100,d,"440, 481"
es15,00110000,0,"217, 453"
es15,01001110,N,"30, 145, 309"
es15,01100110,f,"111, 176, 196, 422"
es15,00110100,4,"199, 373"
es15,01011000,X,"126, 169, 362, 401"
es15,01100101,e,"13, 115, 493"
es15,01010001,Q,159
es15,00110111,7,"99, 132, 179, 387"
es15,00110101,5,425
es15,00110010,2,"12, 114, 480, 492"
es15,00111001,9,88
es15,01101001,i,"212, 431"
es15,01001011,K,351
es15,01001100,L,"215, 451"
es15,01101101,m,209
es15,01010110,V,"124, 360, 399, 411"
es15,01010010,R,40
es15,01010011,S,"28, 449, 467, 504"
es16,01000010,B,"249, 770, 896"
es16,01110110,v,"111, 216, 267, 640, 691... (+1)"
es16,00110011,3,"174, 395, 809, 813, 849"
es16,01001000,H,"82, 229, 978"
es16,01111001,y,"240, 854, 919"
es16,00111000,8,"324, 487, 568, 602, 795... (+2)"
es16,01010100,T,"195, 361, 424, 995"
es16,01111010,z,"77, 521, 669, 986"
es16,00110001,1,"160, 335, 634, 709, 761... (+1)"
es16,01010101,U,"193, 357, 359, 663"
es16,01100011,c,"161, 598, 635, 644, 710... (+4)"
es16,00110110,6,"129, 476, 959, 1016"
es16,01000111,G,"277, 404, 416, 674"
es16,01100100,d,"495, 541, 892"
es16,00110000,0,"18, 67, 788, 924"
es16,01001110,N,"101, 322, 341, 862"
es16,01100110,f,"126, 171, 810"
es16,00110100,4,"245, 379, 766"
es16,01011000,X,"596, 872"
es16,01100101,e,296
es16,01010001,Q,62
es16,00110111,7,"33, 151, 201, 532"
es16,00110101,5,"165, 579, 972"
es16,00110010,2,"295, 494, 540"
es16,00111001,9,"103, 141, 178, 330, 343... (+1)"
es16,01101001,i,"220, 954"
es16,01001011,K,"184, 999"
es16,01001100,L,"293, 759, 786"
es16,01101101,m,"130, 271"
es16,01010110,V,"48, 122"
es16,01010010,R,"352, 583, 976, 997"
es16,01010011,S,"147, 197, 363, 860"
es17,01000010,B,"73, 174, 266, 476, 656... (+5)"
es17,01110110,v,"83, 241, 295, 490, 532... (+7)"
es17,00110011,3,"8, 51, 130, 497, 556... (+7)"
es17,01001000,H,"473, 653, 825, 879, 1183... (+3)"
es17,01111001,y,"589, 595, 636, 1083, 1627... (+1)"
es17,00111000,8,"394, 448, 665, 690, 998... (+5)"
es17,01010100,T,"21, 430, 1179, 1460, 1718... (+2)"
es17,01111010,z,"41, 112, 628, 763, 1868"
es17,00110001,1,"55, 60, 134, 139, 917... (+4)"
es17,01010101,U,"1551, 1873, 2034, 2036, 2038"
es17,01100011,c,"56, 61, 135, 485, 704... (+8)"
es17,00110110,6,"207, 259, 545, 676, 1155... (+1)"
es17,01000111,G,"145, 304, 364, 384, 687... (+6)"
es17,01100100,d,"536, 907, 940, 1017, 1027... (+5)"
es17,00110000,0,"641, 1192, 1473, 1883, 2003"
es17,01001110,N,"392, 529, 663, 923, 1107... (+3)"
es17,01100110,f,"9, 48, 52, 131, 333... (+6)"
es17,00110100,4,"319, 619, 708, 1047, 1292... (+3)"
es17,01011000,X,"273, 483, 702, 1322, 1539... (+3)"
es17,01100101,e,"224, 601, 814, 986, 1535... (+4)"
es17,01010001,Q,"302, 437, 465, 1199, 1621... (+2)"
es17,00110111,7,"186, 350, 728, 759, 963... (+3)"
es17,00110101,5,"12, 30, 336, 400, 1143... (+5)"
es17,00110010,2,"600, 813, 939, 1026, 1165... (+4)"
es17,00111001,9,"3, 307, 367, 1598, 1632... (+1)"
es17,01101001,i,"87, 320, 620, 709, 822... (+3)"
es17,01001011,K,"323, 623, 780, 871, 892... (+2)"
es17,01001100,L,"712, 1024, 1163, 1190, 1220... (+4)"
es17,01101101,m,"208, 260, 415, 546, 607... (+3)"
es17,01010110,V,"271, 481, 818, 1010, 1307... (+4)"
es17,01010010,R,"16, 23, 432, 471, 651... (+4)"
es17,01010011,S,"214, 527, 661, 1462, 1720... (+1)"
es18,01000010,B,"26, 481, 818, 840, 1441... (+10)"
es18,01110110,v,"89, 308, 787, 998, 1063... (+11)"
es18,00110011,3,"319, 333, 405, 590, 594... (+11)"
es18,01001000,H,"563, 837, 1093, 1679, 2354... (+3)"
es18,01111001,y,"171, 427, 622, 868, 966... (+9)"
es18,00111000,8,"79, 246, 438, 472, 646... (+9)"
es18,01010100,T,"661, 1904, 2222, 2232, 2791... (+4)"
es18,01111010,z,"118, 517, 656, 694, 752... (+9)"
es18,00110001,1,"215, 531, 1174, 1820, 1968... (+7)"
es18,01010101,U,"226, 228, 445, 668, 933... (+14)"
es18,01100011,c,"216, 532, 586, 791, 1223... (+8)"
es18,00110110,6,"35, 582, 708, 1005, 1099... (+16)"
es18,01000111,G,"138, 283, 574, 628, 680... (+16)"
es18,01100100,d,"240, 615, 796, 972, 1362... (+9)"
es18,00110000,0,"337, 536, 978, 1299, 1487... (+11)"
es18,01001110,N,"77, 244, 436, 903, 949... (+11)"
es18,01100110,f,"334, 406, 591, 1002, 1009... (+16)"
es18,00110100,4,"559, 814, 830, 885, 1026... (+15)"
es18,01011000,X,"269, 1110, 1221, 1263, 1424... (+9)"
es18,01100101,e,"277, 363, 674, 1106, 1322... (+11)"
es18,01010001,Q,"109, 136, 281, 357, 400... (+17)"
es18,00110111,7,"85, 203, 848, 1012, 1212... (+6)"
es18,00110101,5,"409, 609, 723, 924, 1144... (+9)"
es18,00110010,2,"276, 362, 795, 971, 1414... (+8)"
es18,00111001,9,"220, 467, 577, 951, 1622... (+4)"
es18,01101001,i,"74, 103, 125, 451, 506... (+21)"
es18,01001011,K,"69, 177, 348, 454, 509... (+14)"
es18,01001100,L,"213, 331, 529, 976, 1172... (+6)"
es18,01101101,m,"36, 61, 369, 709, 712... (+18)"
es18,01010110,V,"267, 447, 670, 727, 1871... (+12)"
es18,01010010,R,"67, 131, 663, 1446, 1457... (+11)"
